"dim","fid","repetition","BSqi","BSrr","CMA-CSA","fmincon","fminunc","HCMA","HMLSL","IPOP400D","MCS","MLSL","OQNLP","SMAC-BBOB"
2,1,1,10.6,10.6,82,11.2,7,6,11.2,69.2,15.6,11.2,18.4,14.4
2,2,1,20.6,25.8,354.6,40.2,92.2,190.2,40.2,459.6,65,40.2,51,Inf
2,3,1,80.6,86.4,3656.6,2273.6,2111.8,221,711.4,1865.5,696,2166.6,1085.6,Inf
2,4,1,98.8,102.4,18995.2,1912.4,2405.2,405.2,5605.4,2945,1357.2,4240.4,6122,Inf
2,5,1,5.8,5.8,24.4,17,13,6.4,17,22,4.4,17,18,5.2
2,6,1,10000.6666666667,15459.6666666667,272.8,56.2,112.6,337.2,56.2,214,2273.6,56.2,94.8,Inf
2,7,1,Inf,Inf,187,13269.8,13480,217.2,568,361.6,423.2,17440.3333333333,333.8,650
2,8,1,23486,18007,561.8,73.8,65.2,383,73.8,366.2,46.2,73.8,70,Inf
2,9,1,Inf,48766,377,33,41.8,256,33,302.4,43.8,33,37.6,Inf
2,10,1,Inf,14730,362.8,28.6,104.2,193.6,28.6,463.4,10905.8,28.6,129.4,Inf
2,11,1,8084,4089,350.6,27.4,74.2,207.8,27.4,535.6,17024,27.4,362.4,Inf
2,12,1,13396.5,3538.33333333333,513.2,87.2,130,714.8,87.2,425,2446.8,87.2,202.8,Inf
2,13,1,45629,Inf,275.4,41.8,12711,187,41.8,382.6,24285.6666666667,41.8,124.2,Inf
2,14,1,346.8,282.8,84.4,22.6,31.6,99.8,22.6,85.2,40.4,22.6,33.2,109.6
2,15,1,25925,Inf,1529.2,697.8,3086.6,959,1504.8,1408.5,1449.4,2571.6,621.8,Inf
2,16,1,8323,12064,1015.8,5871.25,8300.8,416.6,2682.6,241.2,1397.6,4130.2,4406.33333333333,Inf
2,17,1,9042.25,10412,546.8,92295,16596,786.8,3088,379.4,1498.6,93329,2909.8,Inf
2,18,1,Inf,Inf,578.2,Inf,Inf,1885.2,10232.2,1673,11269.8,Inf,Inf,Inf
2,19,1,7757.8,2993.6,2054.6,32,2075.4,3779.6,32,2258,216,32,1236.75,404
2,20,1,5901.5,3624.6,1449.8,1393.2,1071.2,6711.6,989.8,Inf,366.2,510.4,1459.4,Inf
2,21,1,2160.25,3344.33333333333,2018.8,166,135,892,128.8,399.75,2422,91.4,143.8,88.4
2,22,1,49145,65038,5691.4,186,236.2,1105.2,241,960.5,1313,246.6,286.4,157
2,23,1,26116,Inf,2560.2,756,26366,2377.8,675.4,2285,6126.2,420.4,2036.25,Inf
2,24,1,32527,Inf,Inf,46798,15180,717236,47070,Inf,21902.6666666667,21674.5,3906,Inf
3,1,1,16.8,16.8,160.6,15.4,9,8,15.4,132.2,19,15.4,23,27.6
3,2,1,28.2,34,589.4,74.4,179.4,196,74.4,790.4,162.6,74.4,87.6,Inf
3,3,1,138.8,133,13387.8,24464.5,69127,672.4,1536,Inf,10208.8,21256,5113,Inf
3,4,1,252,219.6,Inf,51196,28603,387784.5,3005,Inf,31545,24265,Inf,Inf
3,5,1,9.2,9.2,49,29,21,10.6,29,51.2,6.6,29,20,8
3,6,1,26124.5,74680,331.8,128.8,271.4,542.4,136.8,398.4,13360.25,136.8,299.6,Inf
3,7,1,91032,96938,343.4,51840,Inf,355,1533,504.8,1940,Inf,1836,Inf
3,8,1,22440,44676.5,593,80.2,116.2,410,80.2,968,1113.8,80.2,113,Inf
3,9,1,38890.5,Inf,536.2,72,67.4,503.8,72,640,159,72,71.2,Inf
3,10,1,Inf,Inf,602.2,59.4,195.4,305.8,59.4,812.4,Inf,59.4,636.8,Inf
3,11,1,Inf,Inf,670.4,37.2,494.2,277.4,37.2,874.6,136488,37.2,675.6,Inf
3,12,1,Inf,10545,1531,225.2,309,930,227.8,2393.33333333333,498.6,227.8,3152,Inf
3,13,1,Inf,10902,556.2,99.8,128.2,329.8,99.8,766.4,29186.6666666667,99.8,250.6,Inf
3,14,1,731,857.6,149.8,36.2,40.2,175.2,36.2,220,340.6,36.2,49,213.2
3,15,1,Inf,Inf,2941.2,10101.5,18006.5,4467.2,7842.25,7186,9091,15300.3333333333,2035.4,Inf
3,16,1,70093,Inf,2281.6,134682,122933,2541.8,30929.8,1212.66666666667,23338.25,119797,Inf,Inf
3,17,1,19042.5,16334.5,714.2,Inf,Inf,1395.6,4619.4,406.8,7699.4,Inf,19571,Inf
3,18,1,Inf,Inf,1449.4,Inf,Inf,2882.2,11426,Inf,Inf,Inf,Inf,Inf
3,19,1,23841.5,83402,7033.6,38921.5,26970.25,14467,35251,4198,6764.4,54803,4668.8,Inf
3,20,1,43266,27197.6666666667,6246,8517.8,8133.4,7014.4,2302.33333333333,Inf,8060,7398,3169,Inf
3,21,1,50805,63611,1281.8,666.8,595.4,815.4,628.8,1035.66666666667,1875,470,493.25,373.333333333333
3,22,1,47981,63750,68482.6666666667,276.2,370.2,21366.6,461.8,Inf,438,844.4,332.8,507
3,23,1,Inf,Inf,7132.2,2861.4,Inf,6690.4,2782,5243,32203.25,3069.8,13245,Inf
3,24,1,Inf,Inf,Inf,Inf,Inf,1785200,44675.3333333333,Inf,Inf,Inf,7168,Inf
5,1,1,28.2,28.2,253.4,26.2,13,12,26.2,248.6,31.6,26.2,30.2,39.6
5,2,1,47.6,67,1260,155.6,535,182.8,180.4,1676.2,289.8,180.4,202,Inf
5,3,1,306.2,287.2,265316,Inf,Inf,470.8,5778.2,Inf,Inf,Inf,Inf,Inf
5,4,1,521.4,486.2,Inf,Inf,Inf,25197,27124,Inf,Inf,Inf,Inf,Inf
5,5,1,14,14,58.2,55,31,15.6,55,65.8,10,55,24,9.6
5,6,1,123786,Inf,750,451,1157.8,885.4,388.6,797.2,17414.25,388.6,676.2,Inf
5,7,1,Inf,Inf,936,Inf,Inf,1192,5557.2,1394.2,63063,Inf,Inf,Inf
5,8,1,Inf,Inf,1856.4,401.4,323.8,766,501.8,1482.6,387.4,389.6,329.2,Inf
5,9,1,Inf,Inf,1871,154,135.4,1310.2,154,1557.8,263.4,154,146.6,Inf
5,10,1,Inf,Inf,1212.6,122.8,820.2,499.4,129.2,1724.2,Inf,129.2,643.4,Inf
5,11,1,Inf,Inf,1043.8,62,2924.2,446.8,59.6,1788.8,Inf,59.6,2277,Inf
5,12,1,20971,Inf,2305.4,337.8,321.4,710.8,326,3499.33333333333,6699.2,326,1177.2,Inf
5,13,1,Inf,Inf,1062.6,244.6,305.8,437.4,245.2,1678.8,Inf,245.2,1280.2,Inf
5,14,1,1542,2223.4,314.4,55.4,85,304,55.4,345.6,223,55.4,77.4,Inf
5,15,1,Inf,Inf,18395.8,Inf,Inf,15847.2,73907.5,Inf,Inf,Inf,Inf,Inf
5,16,1,Inf,Inf,3809.2,Inf,Inf,9063,Inf,Inf,Inf,Inf,Inf,Inf
5,17,1,Inf,Inf,3428.6,Inf,Inf,2085.4,13666.4,934.25,Inf,Inf,Inf,Inf
5,18,1,Inf,Inf,4736.8,Inf,Inf,4104.8,38143.75,Inf,Inf,Inf,Inf,Inf
5,19,1,Inf,Inf,68191.4,Inf,Inf,122536.4,97367,Inf,Inf,Inf,8244.66666666667,Inf
5,20,1,Inf,Inf,39780.4,Inf,Inf,84184.2,12366,Inf,28073,Inf,15067,Inf
5,21,1,15249.5,10081.5,13146,1065.2,2355.4,22595.6,926.2,5468,6361.4,2574.6,966.5,1822
5,22,1,130552,124409,206432,722.8,855.8,3722.6,1277.2,7254,10916.8,915.8,788.25,1281
5,23,1,Inf,Inf,123428.8,221595,Inf,19180.8,96918.5,Inf,Inf,Inf,Inf,Inf
5,24,1,Inf,Inf,Inf,Inf,Inf,6284111.5,Inf,Inf,Inf,Inf,Inf,Inf
10,1,1,54.4,54.4,598,49.4,23,22.4,49.4,506,50,49.4,44.2,146.6
10,2,1,93.8,138.2,3598.4,665.4,2555.2,349.6,679.2,7638,1443.4,679.2,564.8,Inf
10,3,1,645,628.2,Inf,Inf,Inf,1276,74131.6666666667,Inf,Inf,Inf,Inf,Inf
10,4,1,1306.2,1067.8,Inf,Inf,Inf,4286.6,Inf,Inf,Inf,Inf,Inf,Inf
10,5,1,29.4,29.4,116,122,56,37.6,122,121.8,20.2,122,34,12.8
10,6,1,Inf,Inf,1886.6,1725.4,3714.6,2834.4,1556.6,1909.6,90482,1556.6,4906.4,Inf
10,7,1,Inf,Inf,3836,Inf,Inf,3176.8,40319.8,Inf,Inf,Inf,Inf,Inf
10,8,1,Inf,190006,4487.6,1141.8,1338.6,1788.4,1548.8,6796.33333333333,1563.4,1149.6,1030,Inf
10,9,1,Inf,Inf,4140.2,474.2,397,1613.8,476.8,11737,993.2,476.8,416.6,Inf
10,10,1,Inf,Inf,3540.2,559.8,4071.8,837.4,468.4,Inf,Inf,468.4,6147.8,Inf
10,11,1,Inf,Inf,2415.2,173.2,10992.8,852,171.4,5738.75,Inf,171.4,5033,Inf
10,12,1,Inf,Inf,7082,1217.8,894.2,1144.4,1211.2,20925,16740.6,1211.2,12201.2,Inf
10,13,1,Inf,Inf,5217,733.6,973.4,730.4,721.2,7345.66666666667,Inf,721.2,2003.6,Inf
10,14,1,5133.6,5509.6,777.4,146.8,254,694,146.8,755.6,570,146.8,172.2,Inf
10,15,1,Inf,Inf,63796,Inf,Inf,56865.6,Inf,Inf,Inf,Inf,Inf,Inf
10,16,1,Inf,Inf,33869,Inf,Inf,17563.4,Inf,Inf,Inf,Inf,Inf,Inf
10,17,1,Inf,Inf,5615.4,Inf,Inf,9443.2,31679.4,1694.25,Inf,Inf,Inf,Inf
10,18,1,Inf,Inf,13873,Inf,Inf,12700,672654,Inf,Inf,Inf,Inf,Inf
10,19,1,Inf,Inf,486272,Inf,Inf,735530.6,Inf,Inf,Inf,Inf,Inf,Inf
10,20,1,Inf,Inf,272068,Inf,Inf,584127.4,131414,Inf,Inf,Inf,Inf,Inf
10,21,1,Inf,139493,32521.6666666667,4472.8,5448.8,200391.4,4132.4,5077,27532,1889.2,2314.2,Inf
10,22,1,Inf,Inf,Inf,7373,3301.6,14876.6,3851.75,Inf,23517,2607.6,6667.75,Inf
10,23,1,Inf,Inf,1556510,Inf,Inf,52970.4,Inf,Inf,Inf,Inf,Inf,Inf
10,24,1,Inf,Inf,Inf,Inf,Inf,7371411,Inf,Inf,Inf,Inf,Inf,Inf
